loss,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
1.2874315977096558,"[0.8919597864151001, 0.8751570582389832, 0.884736180305481, 0.9282349348068237, 0.875, 0.9018530249595642, 0.8423366546630859, 0.9049937129020691]",0.888033926486969,"[0.5625680088996887, 0.49701493978500366, 0.5331807732582092, 0.7189054489135742, 0.4907834231853485, 0.6014405488967896, 0.32692307233810425, 0.6135265827178955]",0.5430428385734558,"[0.6438356041908264, 0.4209860861301422, 0.5883838534355164, 0.7144622802734375, 0.5461538434028625, 0.6309823393821716, 0.23200993239879608, 0.6406052708625793]",0.5521774291992188,"[0.6004645824432373, 0.45585212111473083, 0.5594237446784973, 0.7166769504547119, 0.5169903039932251, 0.6158574223518372, 0.2714078426361084, 0.6267735958099365]",0.5475720167160034
1.2592792510986328,"[0.8968278765678406, 0.8812814354896545, 0.8955715894699097, 0.9309045076370239, 0.8806532621383667, 0.9097047448158264, 0.8432788848876953, 0.9103329181671143]",0.8935694098472595,"[0.5854213833808899, 0.526627242565155, 0.5721040368080139, 0.716136634349823, 0.512110710144043, 0.6329723000526428, 0.3426229655742645, 0.6362515687942505]",0.5655308961868286,"[0.6369268894195557, 0.44949495792388916, 0.6149936318397522, 0.7534076571464539, 0.5685019493103027, 0.660804033279419, 0.2593052089214325, 0.6515151262283325]",0.5743686556816101,"[0.6100890636444092, 0.4850136339664459, 0.5927740335464478, 0.7342994809150696, 0.5388349294662476, 0.6465888619422913, 0.2951977550983429, 0.6437929272651672]",0.5699155926704407
1.2513552904129028,"[0.8935301303863525, 0.8812814354896545, 0.8894472122192383, 0.9302763938903809, 0.882851779460907, 0.9109610319137573, 0.8472047448158264, 0.910804033279419]",0.8932945728302002,"[0.5747126340866089, 0.5244072675704956, 0.5480093955993652, 0.7151300311088562, 0.520045816898346, 0.641717791557312, 0.35836178064346313, 0.6369268894195557]",0.5649139881134033,"[0.6188119053840637, 0.4753476679325104, 0.5954198241233826, 0.7487623691558838, 0.5813060402870178, 0.6553884744644165, 0.26022306084632874, 0.6514575481414795]",0.573339581489563,"[0.5959475040435791, 0.49867376685142517, 0.5707316398620605, 0.7315598130226135, 0.5489722490310669, 0.6484811305999756, 0.30150753259658813, 0.6441102623939514]",0.5690956115722656
1.221168875694275,"[0.8976130485534668, 0.8844221234321594, 0.8980841636657715, 0.935615599155426, 0.8784547448158264, 0.9142587780952454, 0.8498743772506714, 0.9100188612937927]",0.8960427045822144,"[0.5883694291114807, 0.542151153087616, 0.5792474150657654, 0.7397094368934631, 0.5045766830444336, 0.645760715007782, 0.36795774102211, 0.634880781173706]",0.5753316879272461,"[0.6394051909446716, 0.4697732925415039, 0.6446700692176819, 0.7580645084381104, 0.5639386177062988, 0.6976160407066345, 0.2593052089214325, 0.6421319842338562]",0.5843631029129028,"[0.6128265857696533, 0.5033738017082214, 0.6102101802825928, 0.7487744688987732, 0.532608687877655, 0.6706875562667847, 0.3042212426662445, 0.6384857892990112]",0.579812228679657
1.220600962638855,"[0.8998115658760071, 0.8800251483917236, 0.8949434757232666, 0.9343593120574951, 0.8844221234321594, 0.9133166074752808, 0.8464195728302002, 0.9103329181671143]",0.8954538106918335,"[0.598809540271759, 0.5192837715148926, 0.5671296119689941, 0.7311320900917053, 0.5262515544891357, 0.6485507488250732, 0.361563503742218, 0.6332931518554688]",0.5732517242431641,"[0.6256219148635864, 0.47601011395454407, 0.6242038011550903, 0.7654321193695068, 0.5532734394073486, 0.6729323267936707, 0.2747524678707123, 0.6628788113594055]",0.5818880796432495,"[0.6119221448898315, 0.4967062175273895, 0.5942995548248291, 0.7478891015052795, 0.5394243001937866, 0.6605165600776672, 0.31223630905151367, 0.6477483510971069]",0.5775375962257385
1.2033056020736694,"[0.8994975090026855, 0.8825376629829407, 0.898398220539093, 0.9357725977897644, 0.8875628113746643, 0.9188128113746643, 0.8569409251213074, 0.9070351719856262]",0.8983197212219238,"[0.5960648059844971, 0.529960036277771, 0.5839328765869141, 0.7357142567634583, 0.5402160882949829, 0.6732919216156006, 0.4111675024032593, 0.6176470518112183]",0.5859993100166321,"[0.6389577984809875, 0.501891553401947, 0.6188055872917175, 0.7677018642425537, 0.5747126340866089, 0.6809045076370239, 0.30148884654045105, 0.6628788113594055]",0.5934177041053772,"[0.6167665123939514, 0.5155441164970398, 0.6008636951446533, 0.7513678073883057, 0.556930661201477, 0.6770768165588379, 0.347888320684433, 0.6394640207290649]",0.5896852016448975
1.1796492338180542,"[0.9024811387062073, 0.888033926486969, 0.8963567614555359, 0.9389133453369141, 0.8867776393890381, 0.917399525642395, 0.8505024909973145, 0.9158291220664978]",0.8995367884635925,"[0.6083333492279053, 0.5533333420753479, 0.57337886095047, 0.7485101222991943, 0.5371498465538025, 0.6674876809120178, 0.3872472643852234, 0.6619898080825806]",0.5921787619590759,"[0.6363636255264282, 0.5233291387557983, 0.6387832760810852, 0.7791563272476196, 0.5639386177062988, 0.6791979670524597, 0.3085501790046692, 0.6569620370864868]",0.5982851982116699,"[0.622032880783081, 0.5379131436347961, 0.6043165326118469, 0.7635258436203003, 0.5502183437347412, 0.6732919216156006, 0.343448281288147, 0.6594663262367249]",0.5952162742614746
1.172418475151062,"[0.9064070582389832, 0.8809673190116882, 0.9048366546630859, 0.9368718862533569, 0.8878768682479858, 0.9210113286972046, 0.8492462038993835, 0.9131595492362976]",0.9000470638275146,"[0.6220657229423523, 0.5210312008857727, 0.6084408164024353, 0.7394366264343262, 0.5379146933555603, 0.675000011920929, 0.369415819644928, 0.6472772359848022]",0.590072751045227,"[0.6592040061950684, 0.48669201135635376, 0.6561315059661865, 0.7777777910232544, 0.5835475325584412, 0.7114177942276001, 0.2660891115665436, 0.6611883640289307]",0.6002560257911682,"[0.6400966048240662, 0.503276526927948, 0.6313868761062622, 0.7581228017807007, 0.5598027110099792, 0.6927306056022644, 0.3093525171279907, 0.6541588306427002]",0.5951207876205444
1.1580069065093994,"[0.9068781137466431, 0.8833228349685669, 0.9035804271697998, 0.9406406879425049, 0.8921168446540833, 0.9186557531356812, 0.8528580665588379, 0.9092336893081665]",0.9009108543395996,"[0.627261757850647, 0.5344129800796509, 0.6000000238418579, 0.7606318593025208, 0.5591531991958618, 0.6620209217071533, 0.3930920958518982, 0.6266506314277649]",0.5954029560089111,"[0.646766185760498, 0.498740553855896, 0.6624365448951721, 0.7757124900817871, 0.5741688013076782, 0.7151819467544556, 0.2961586117744446, 0.661596953868866]",0.6038452386856079,"[0.6368646621704102, 0.5159609317779541, 0.6296743154525757, 0.7680981755256653, 0.5665615200996399, 0.6875753998756409, 0.33780917525291443, 0.6436498165130615]",0.5995944142341614
1.1619516611099243,"[0.9070351719856262, 0.8907034993171692, 0.9004396796226501, 0.9365577697753906, 0.8886620402336121, 0.9177135825157166, 0.8479899764060974, 0.9178705811500549]",0.9008715152740479,"[0.6276595592498779, 0.5701881051063538, 0.5933806300163269, 0.7404305934906006, 0.5397008061408997, 0.6592244505882263, 0.370015949010849, 0.6670823097229004]",0.595960259437561,"[0.6571782231330872, 0.4968474209308624, 0.6338383555412292, 0.7679900527000427, 0.602827787399292, 0.7056604027748108, 0.2881987690925598, 0.6763590574264526]",0.6036125421524048,"[0.6420798301696777, 0.5309972763061523, 0.6129425764083862, 0.753958523273468, 0.5695204138755798, 0.6816524863243103, 0.3240223824977875, 0.6716886758804321]",0.599761962890625
1.1350185871124268,"[0.9086055159568787, 0.8820666074752808, 0.9059359431266785, 0.9415829181671143, 0.8919597864151001, 0.9255653023719788, 0.8530150651931763, 0.9155150651931763]",0.9030307531356812,"[0.633093535900116, 0.5287671089172363, 0.6122931241989136, 0.759856641292572, 0.5552884340286255, 0.6917562484741211, 0.40155038237571716, 0.656753420829773]",0.6049198508262634,"[0.6567164063453674, 0.48675915598869324, 0.6565272212028503, 0.7881041169166565, 0.5923076868057251, 0.7283018827438354, 0.3201483190059662, 0.6700379252433777]",0.6123628616333008,"[0.644688606262207, 0.5068942904472351, 0.6336391568183899, 0.7737226486206055, 0.5732010006904602, 0.7095587849617004, 0.3562586009502411, 0.6633291840553284]",0.6086185574531555
